id,name,constituency,state,party,criminal_cases,total_assets,liabilities,source_url
pataliputra-misha-bharti,Misha Bharti,Pataliputra,Bihar,RJD,6,102619562,11462479,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9528
sambhal-zia-ur-rehman,Zia Ur Rehman,Sambhal,Uttar Pradesh,SP,6,18967476,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4084
mahabubabad-st-balram-naik-porika,Balram Naik Porika,Mahabubabad (ST),Telangana,INC,6,29919101,25246063,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5297
nellore-prabhakar-reddy-vemireddy,Prabhakar Reddy Vemireddy,Nellore,Andhra Pradesh,TDP,6,7163322265,1972962603,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5118
thanjavur-murasoli-s,Murasoli S,Thanjavur,Tamil Nadu,DMK,6,20734393,1713126,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1451
nagarkurnool-sc-dr-mallu-ravi,Dr.Mallu Ravi,Nagarkurnool (SC),Telangana,INC,6,523215816,47868830,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5241
gaya-sc-jitan-ram-manjhi,Jitan Ram Manjhi,Gaya (SC),Bihar,Hindustani Awam Morcha (Secular),6,3020578,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1678
mahbubnagar-aruna-d-k,Aruna. D. K,Mahbubnagar,Telangana,BJP,6,667569871,16132436,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5236
kanthi-adhikari-soumendu,Adhikari Soumendu,Kanthi,West Bengal,BJP,6,26179993,287970,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7922
kottayam-adv-k-francis-george,Adv K Francis George,Kottayam,Kerala,Kerala Congress,5,95196318,1300000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3137
vellore-dm-kathir-anand,Dm Kathir Anand,Vellore,Tamil Nadu,DMK,5,887965643,511658487,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=216
sambalpur-dharmendra-pradhan,Dharmendra Pradhan,Sambalpur,Odisha,BJP,5,69219190,5337781,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8053
kollam-n-k-premachandran,N K Premachandran,Kollam,Kerala,Revolutionary Socialist Party,5,31194899,3800000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3132
chalakudy-benny-behanan,Benny Behanan,Chalakudy,Kerala,INC,5,35020209,7893411,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2272
palakkad-v-k-sreekandan,V K Sreekandan,Palakkad,Kerala,INC,5,12421358,5462812,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2305
maharajganj-janardan-singh-sigriwal,Janardan Singh (Sigriwal),Maharajganj,Bihar,BJP,5,17536436,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8177
pathanamthitta-anto-antony,Anto Antony,Pathanamthitta,Kerala,INC,5,12471856,15673065,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2309
hyderabad-asaduddin-owaisi,Asaduddin Owaisi,Hyderabad,Telangana,All India Majlis-E-Ittehadul Muslimeen,5,238766044,70500000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5228
bangalore-north-shobha-karandlaje,Shobha Karandlaje,Bangalore North,Karnataka,BJP,5,138866909,40600640,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2178
paschim-champaran-dr-sanjay-jaiswal,Dr.Sanjay Jaiswal,Paschim Champaran,Bihar,BJP,5,290535126,13525,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7852
anakapalle-c-m-ramesh,C.M.Ramesh,Anakapalle,Andhra Pradesh,BJP,5,4976024996,1016183515,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5268
srikakulam-kinjarapu-rammohan-naidu,Kinjarapu Rammohan Naidu,Srikakulam,Andhra Pradesh,TDP,4,233073561,29863859,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6620
basti-ram-prasad-chaudhary,Ram Prasad Chaudhary,Basti,Uttar Pradesh,SP,4,98152477,3745441,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8150
